"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Derrick White","Bos","G","29.6","44","32.1","19.5","11.9","114","0.895","225","0.533","295","0.4","0.571","0.61","15.8","4","4.7","1","1.2","1.6","19.8","20.5","24.5","8.3","124.9","109"
"","OG Anunoby","Nyk","F","26.5","14","35.7","16.4","10.8","38","0.842","93","0.602","64","0.391","0.596","0.63","15.6","4.6","1.5","1.8","1.1","1.4","20.3","17.1","21.8","5.3","122.8","108.1"
"","Jalen Johnson","Atl","F","22.1","33","33","18","14.3","89","0.753","271","0.609","105","0.371","0.594","0.619","15.6","8.3","3.2","1.4","0.8","1.9","23.8","18.7","27","9","118.9","112.8"
"","Marvin Bagley III","Was","F","24.9","8","24","24.6","17.2","44","0.659","74","0.622","3","0.333","0.617","0.643","15.5","8.4","1.4","0.6","0.4","2","23.9","16.9","25.3","9.4","122.1","110.6"
"","Caris LeVert","Cle","G","29.4","35","28.4","24.6","10.5","115","0.757","269","0.48","192","0.339","0.491","0.528","15.4","3.5","4.1","1","0.4","1.5","18.9","19.5","23","8.5","110.8","109.9"
"","Evan Mobley","Cle","C","22.6","23","32.5","19.8","16.3","67","0.776","251","0.59","11","0.182","0.576","0.607","15.4","10.1","2.8","0.8","1.5","2.2","25.5","18.2","28.3","9.3","116.4","103.5"
"","Jarrett Allen","Cle","C","25.8","40","30.6","18.4","16","146","0.753","383","0.653","1","0","0.651","0.68","15.3","10.6","2.9","0.9","1.1","1.8","25.8","18.2","28.7","10.2","132.1","104.4"
"","Brandon Miller","Cha","F","21.2","40","31","21.9","10.5","82","0.817","302","0.477","227","0.374","0.513","0.54","15.3","3.9","2.3","0.7","0.5","1.6","19.1","17.6","21.4","6.7","106.1","118"
"","Austin Reaves","Lal","G","25.7","49","30.6","20.5","16.6","172","0.866","309","0.589","224","0.344","0.558","0.611","15.2","4","5.2","0.9","0.1","2.2","19.1","20.4","24.4","8.9","117.7","113.2"
"","OG Anunoby","Tor","F","26.5","27","33.3","18.2","11.8","46","0.717","158","0.608","163","0.374","0.584","0.598","15.1","4","2.7","1","0.5","1.6","19.1","17.8","21.7","6.6","113.1","114.4"
"","Khris Middleton","Mil","F","32.5","41","26.4","23.6","15.2","91","0.835","291","0.564","188","0.378","0.565","0.594","15","4.3","5","0.9","0.3","2.1","19.4","20.1","24.4","10.4","116.8","110.4"
"","Immanuel Quickley","Nyk","G","24.6","30","24","24.1","8.5","94","0.872","173","0.509","162","0.395","0.549","0.598","15","2.6","2.5","0.5","0.1","1","17.6","17.5","20","7.7","123.5","110.6"
"","Jonathan Kuminga","Gol","F","21.3","43","24.3","23.7","12.4","167","0.713","340","0.6","111","0.324","0.572","0.605","14.8","4.5","1.6","0.7","0.4","1.5","19.3","16.3","20.9","7.8","116.7","111.8"
"","De'Andre Hunter","Atl","F","26.2","25","29.7","18.8","12.6","75","0.907","151","0.503","119","0.403","0.548","0.601","14.6","4","1.4","0.8","0.4","1.6","18.5","15.9","19.9","5.8","114.8","114.5"
"","Gordon Hayward","Cha","F","33.9","25","31.9","20.9","14.6","81","0.765","236","0.496","61","0.361","0.505","0.544","14.5","4.7","4.6","1.1","0.5","2","19.2","19.1","23.8","8.5","109.8","119.6"
"","Marcus Smart","Mem","G","29.9","20","30.2","23","20.7","56","0.768","103","0.583","134","0.313","0.519","0.552","14.5","2.7","4.3","2.1","0.3","3.1","17.1","18.8","21.4","7.3","99.8","107.7"
"","Jaden Ivey","Det","G","22","43","26.7","24","17.1","172","0.721","304","0.52","174","0.333","0.513","0.554","14.3","3.8","3.7","0.7","0.6","2.3","18","18","21.7","8.8","108.2","114.7"
"","Bennedict Mathurin","Ind","F","21.6","47","25.5","23.1","12.6","163","0.834","357","0.499","165","0.364","0.513","0.566","14.3","3.9","1.9","0.6","0.2","1.6","18.1","16.2","20.1","7.4","110.7","117.8"
"","Malik Monk","Sac","G","26","45","25.3","24.5","16.2","125","0.816","230","0.496","273","0.377","0.534","0.573","14.2","2.6","5.3","0.6","0.6","2.2","16.8","19.5","22.1","9.2","114","113.6"
"","Jonas Valanciunas","Nor","C","31.7","48","26.3","20.4","12.7","148","0.791","379","0.62","87","0.345","0.601","0.637","14.1","9.7","2.3","0.5","1.1","1.4","23.8","16.4","26.1","10.3","126.9","101.9"
"","John Collins","Uta","F","26.4","45","27.6","19.7","11.4","105","0.781","324","0.596","159","0.346","0.57","0.598","14.1","7.9","1","0.6","0.8","1.4","22","15.1","23","7","116.4","109.9"
"","Cameron Johnson","Bro","F","27.9","38","28.4","19.4","7.5","61","0.738","197","0.518","232","0.405","0.566","0.582","14","4.6","2.6","0.8","0.2","0.9","18.6","16.6","21.1","7.8","120","114.4"
"","Jalen Duren","Det","C","20.2","32","29.9","17.8","16.8","70","0.7","309","0.644","2","0","0.64","0.654","14","11.8","2.5","0.4","0.8","2","25.8","16.5","28.3","10","122.5","110.3"
"","Dennis Schroder","Tor","G","30.4","47","31","19.3","13","136","0.853","319","0.511","201","0.353","0.518","0.565","13.9","2.7","6.3","0.9","0.1","1.7","16.6","20.3","23","8","119.2","114.9"
"","Dillon Brooks","Hou","F","28","38","31.4","18.4","11.6","86","0.837","232","0.517","185","0.389","0.547","0.58","13.9","3.4","1.6","0.9","0.1","1.4","17.3","15.4","18.9","5.4","110.4","105.1"
"","P.J. Washington","Cha","F","25.4","40","29.1","20.7","11.6","79","0.747","234","0.56","225","0.342","0.537","0.559","13.8","5.1","2.2","0.8","0.8","1.5","18.9","16","21.1","7.4","109.3","115.8"
"","Aaron Gordon","Den","F","28.4","43","32","17.5","11.7","158","0.614","349","0.593","80","0.3","0.566","0.585","13.6","6.7","3.1","0.8","0.7","1.3","20.2","16.7","23.3","8.2","121.7","112.9"
"","Deandre Ayton","Por","C","25.5","32","31.8","18.4","14","44","0.795","363","0.551","0","0","0.551","0.569","13.6","10.5","1.6","1","0.7","1.8","24.1","15.2","25.6","7.7","110.4","110.4"
"","Norman Powell","Lac","G","30.7","46","25.4","19.6","8.5","106","0.849","228","0.535","211","0.45","0.603","0.637","13.5","2.6","1","0.5","0.4","0.9","16.1","14.5","17.1","5.2","122.3","112.1"
"","Jrue Holiday","Bos","G","33.6","44","33.6","17.1","14.7","64","0.828","262","0.496","215","0.428","0.562","0.583","13.4","6","4.5","0.8","0.8","1.9","19.4","17.9","23.9","8.5","118.7","110.8"
"","Rudy Gobert","Min","C","31.6","47","33.1","15.8","16.7","242","0.632","373","0.641","2","0","0.637","0.655","13.4","12.4","1.2","0.6","2.1","1.6","25.8","14.6","27","7.1","126.4","100.1"
"","Jabari Smith Jr.","Hou","F","20.7","42","31.6","17.4","10.1","94","0.809","256","0.543","187","0.374","0.551","0.582","13.4","8.5","1.5","0.6","0.8","1.2","22","14.9","23.4","7","116.3","105.4"
"","Jaime Jaquez Jr.","Mia","G","23","42","29.8","19.4","14.1","106","0.84","308","0.565","123","0.341","0.55","0.589","13.4","3.8","2.6","1.1","0.3","1.7","17.2","16","19.8","6.8","113.1","109.8"
"","Brook Lopez","Mil","C","35.8","48","31.9","15.8","8.4","87","0.828","245","0.633","244","0.348","0.578","0.604","13.3","5.5","1.6","0.6","2.7","0.9","18.8","14.9","20.4","6.1","122.2","112.3"
"","Kelly Oubre Jr.","Phi","F-G","28.1","34","27.8","19.3","7.9","82","0.72","211","0.573","149","0.336","0.544","0.569","13.3","4.3","1.1","1.1","0.5","0.9","17.5","14.3","18.6","5.7","114.1","107"
"","Grayson Allen","Pho","G","28.3","42","33","14.3","14.2","79","0.886","138","0.543","225","0.498","0.669","0.699","13.2","4.1","2.8","0.9","0.6","1.4","17.3","16.1","20.2","6.5","129.9","113.7"
"","Duncan Robinson","Mia","F","29.8","45","27.5","19.5","12","66","0.879","149","0.55","307","0.404","0.588","0.612","13.2","2.4","2.8","0.6","0.2","1.4","15.6","16","18.5","6.5","115.4","110.9"
"","Saddiq Bey","Atl","F","24.8","47","32.7","16.3","7.7","145","0.814","240","0.538","264","0.307","0.497","0.545","13.2","6.6","1.5","0.9","0.1","0.9","19.8","14.7","21.3","6.2","119.2","119.4"
"","Spencer Dinwiddie","Bro","G","30.8","45","30.5","18.8","11.6","157","0.783","211","0.479","263","0.327","0.485","0.537","13","3.4","6","0.8","0.2","1.4","16.3","19","22.4","8.4","119.6","116.2"
"","Trey Murphy III","Nor","F","23.6","23","25.9","19.4","5.3","50","0.78","68","0.603","166","0.355","0.553","0.582","13","3.9","1.8","0.7","0.3","0.6","16.9","14.8","18.7","7","120.8","112.9"
"","Eric Gordon","Pho","G","35.1","40","30.3","17.4","11.1","41","0.78","150","0.58","266","0.383","0.577","0.59","12.8","2.2","2.4","1","0.5","1.3","15","15.2","17.4","5.4","113.5","117"
"","Mark Williams","Cha","C","22.1","19","26.8","16.7","10.1","64","0.719","151","0.649","0","0","0.649","0.675","12.7","9.7","1.2","0.8","1.1","0.9","22.4","13.9","23.6","7.9","137.3","112.3"
