"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Julian Strawther","Den","G","21.8","33","13.9","19.9","7.5","23","0.696","70","0.486","115","0.322","0.484","0.5","5.9","1.5","1.1","0.5","0.2","0.5","7.4","7","8.5","6.1","103.3","108.1"
"","Larry Nance Jr.","Nor","F-C","31.1","31","17.8","12.2","16","30","0.8","81","0.617","39","0.462","0.642","0.668","5.7","5.1","1.3","1","0.4","0.7","10.9","7.1","12.2","7.5","129.5","106.5"
"","Sasha Vezenkov","Sac","F","28.5","33","12.7","17.6","6.5","10","0.7","62","0.581","96","0.375","0.57","0.576","5.7","2.6","0.4","0.5","0.2","0.3","8.2","6.1","8.7","5.7","116.6","111.8"
"","Drew Eubanks","Pho","F-C","27","42","16.1","14.1","21","58","0.741","151","0.623","3","1","0.64","0.668","5.7","4.3","1","0.3","0.8","1","10","6.7","11","7.2","122.7","106.9"
"","Jaylen Nowell","Mem","G","24.6","9","17.4","16.9","8.3","3","1","32","0.563","23","0.174","0.436","0.453","5.7","1.6","1.8","0.3","0","0.6","7.2","7.4","9","5.8","98.4","111.4"
"","Dean Wade","Cle","F","27.2","38","21.9","10.4","9.9","19","0.789","25","0.52","148","0.399","0.587","0.601","5.7","4.4","0.8","0.9","0.3","0.5","10.2","6.6","11","5","121.1","104.2"
"","Aaron Wiggins","Okc","G","25.1","45","13.5","14.8","12.3","29","0.759","117","0.624","54","0.556","0.69","0.702","5.7","2.3","0.9","0.5","0.1","0.5","8","6.6","8.9","6.7","130.8","108"
"","Jamal Cain","Mia","F","24.9","14","14.9","16.6","5.7","19","0.737","41","0.512","25","0.32","0.5","0.538","5.7","2.1","0.2","0.6","0.3","0.3","7.8","5.9","8","3.6","111.9","110.1"
"","Matisse Thybulle","Por","F","26.9","46","22.7","10.2","10.7","16","0.813","45","0.622","172","0.366","0.565","0.576","5.6","2","1.2","1.5","0.8","0.6","7.6","6.8","8.7","4.2","114.9","114.7"
"","Ochai Agbaji","Uta","G","23.8","49","19.9","12.2","11.9","20","0.75","104","0.567","140","0.329","0.525","0.536","5.5","2.5","0.9","0.6","0.6","0.7","8.1","6.4","9","4.6","107.6","116.7"
"","Trendon Watford","Bro","F","23.2","33","11.8","19.3","15.3","29","0.828","109","0.587","29","0.345","0.572","0.604","5.5","2.7","1.5","0.5","0.2","0.8","8.2","7.1","9.8","9.5","120","104.5"
"","Dyson Daniels","Nor","G","20.9","48","21.8","12.5","16.8","48","0.646","135","0.541","102","0.284","0.492","0.511","5.5","3.7","2.6","1.3","0.4","1","9.2","8.1","11.8","6.9","109.9","108.4"
"","Nikola Jovic","Mia","F","20.6","19","16.7","16.6","16.3","20","0.55","47","0.383","45","0.422","0.505","0.516","5.5","4.3","1.9","0.3","0.4","0.9","9.8","7.4","11.7","8.5","105.6","103.8"
"","Dexter Dennis","Dal","G","25","4","7.5","33.2","13.5","3","0.333","11","0.818","8","0.125","0.553","0.541","5.5","2.3","1","0","0.3","0.8","7.8","6.5","8.8","12.4","100.4","115.7"
"","Pat Connaughton","Mil","G","31.1","42","20.8","10.1","11.5","23","0.783","48","0.625","128","0.383","0.588","0.604","5.4","3","1.7","0.5","0.2","0.5","8.4","7.1","10.1","5.8","124.4","114.9"
"","Gary Payton II","Gol","G","31.2","16","16.3","15","11.2","9","0.667","47","0.574","32","0.281","0.513","0.524","5.4","3","0.8","1.1","0.3","0.6","8.4","6.3","9.3","5.8","108.2","107.8"
"","Gabe Vincent","Lal","G","27.6","5","25.5","11.7","5.8","2","0.5","15","0.667","17","0.118","0.406","0.411","5.4","1","3","1.2","0","0.4","6.4","8.4","9.4","4","99.7","110.7"
"","Amir Coffey","Lac","G-F","26.6","34","16.6","11.3","10.4","28","0.857","60","0.7","60","0.417","0.663","0.692","5.4","1.6","0.7","0.4","0.1","0.4","7","6.1","7.7","4.4","132.7","112.7"
"","Kevon Looney","Gol","C","28","44","19.5","10.6","17.2","54","0.704","158","0.614","1","0","0.61","0.635","5.3","6.8","2.3","0.5","0.3","0.8","12","7.6","14.3","8.9","136.6","105.9"
"","Kris Dunn","Uta","G","29.9","41","17.5","14.1","22.4","18","0.667","126","0.524","57","0.421","0.557","0.566","5.3","2.9","4.2","0.9","0.4","1.3","8.1","9.5","12.4","9.2","118","110"
"","Luke Kornet","Bos","C-F","28.5","33","15.1","11.7","12.2","29","0.897","108","0.685","0","0","0.685","0.72","5.3","3.9","0.9","0.4","1","0.5","9.2","6.2","10","7","147.4","105.9"
"","Precious Achiuwa","Nyk","F","24.4","16","18.2","12.4","10.9","6","0.833","63","0.587","10","0.2","0.548","0.562","5.3","5.3","0.6","0.3","0.8","0.6","10.6","5.9","11.3","5.6","121.1","105.1"
"","Anthony Black","Orl","G","20","45","19.4","11.9","19","61","0.656","112","0.563","63","0.381","0.566","0.59","5.3","2.3","1.7","0.6","0.4","0.9","7.6","7","9.3","5.7","112.5","105.8"
"","Noah Clowney","Bro","F","19.5","3","10","18.1","8.7","4","1","9","0.667","1","0","0.6","0.68","5.3","2.3","1","0","0.3","0.3","7.7","6.3","8.7","9.2","142.2","111.8"
"","Bismack Biyombo","Mem","C","31.4","30","23.9","10.6","24.2","46","0.478","119","0.563","0","0","0.563","0.56","5.2","6.4","1.7","0.3","1.1","1.3","11.6","6.9","13.3","6.4","108.5","104.6"
"","Josh Okogie","Pho","F","25.4","42","18.3","12.8","12.3","89","0.719","88","0.534","76","0.263","0.47","0.537","5.2","3","1.2","0.9","0.5","0.5","8.2","6.4","9.4","5.8","119.5","110.9"
"","Jordan Nwora","Ind","F","25.4","18","10.1","22.4","12.7","11","0.818","46","0.565","36","0.306","0.518","0.541","5.2","1.8","1","0.3","0.1","0.7","7.1","6.2","8.1","8.3","106.2","113.5"
"","Jevon Carter","Chi","G","28.4","47","13.8","18.8","9.1","5","0.6","88","0.409","162","0.34","0.474","0.476","5.1","0.8","1.2","0.5","0.3","0.5","5.9","6.3","7.1","4.9","98.1","113.6"
"","Malachi Flynn","Tor","G","25.7","31","15.3","16.2","19.4","22","0.773","57","0.491","80","0.35","0.511","0.535","5.1","2.1","2.4","0.6","0.2","1.1","7.2","7.4","9.5","7.7","105.9","111.3"
"","Jordan Goodwin","Pho","G","25.3","38","14.5","18.2","13.2","27","0.852","110","0.455","80","0.288","0.445","0.476","5.1","3.1","2","0.6","0.2","0.8","8.1","7.1","10.2","8.7","108.3","110.6"
"","Chimezie Metu","Pho","F-C","26.9","36","12.2","16.8","16.5","43","0.884","75","0.653","51","0.294","0.567","0.624","5","3","0.5","0.5","0.3","0.7","8","5.5","8.5","6.4","116.3","107.4"
"","Jarred Vanderbilt","Lal","F","24.8","28","20.2","11.2","18.9","34","0.647","83","0.602","24","0.25","0.551","0.574","5","4.7","1.2","1.2","0.2","0.9","9.7","6.2","10.9","6","112.9","108.1"
"","Kenyon Martin Jr.","Lac","F","23.1","2","15.7","17.8","16.4","2","0.5","5","0.6","5","0.2","0.45","0.46","5","1.5","0.5","1","0.5","1","6.5","5.5","7","4","86.8","107.9"
"","Isaiah Livers","Det","F","25.5","23","20.4","12.6","12.1","18","0.667","39","0.462","77","0.286","0.44","0.46","5","2.1","1.1","0.6","0.2","0.7","7","6","8.1","4.4","96.8","116.7"
"","Stanley Umude","Det","G","24.8","15","10.3","17.4","18.4","23","0.913","17","0.353","27","0.519","0.614","0.693","5","1.9","0.5","0.3","0.3","0.7","6.9","5.5","7.4","6.5","122.9","107.4"
"","Bryce McGowens","Cha","G","21.2","37","16","13.5","12.1","43","0.744","76","0.513","69","0.362","0.528","0.564","5","1.7","0.9","0.2","0.1","0.5","6.7","5.9","7.6","4.9","111.3","118.7"
"","Caleb Houstan","Orl","G","21.1","36","15.6","13.1","8","22","0.773","10","0.7","139","0.36","0.55","0.57","5","1.7","0.6","0.3","0","0.4","6.7","5.7","7.4","4.4","117.2","110"
"","Thaddeus Young","Tor","F","35.6","19","14.6","13.4","9.6","9","0.444","70","0.614","5","0.2","0.593","0.589","4.9","2.9","2.3","0.8","0.1","0.4","7.8","7.2","10.1","8.8","130.4","106.6"
"","Miles McBride","Nyk","G","23.4","35","10","18.4","7.6","14","0.786","52","0.442","82","0.463","0.597","0.61","4.9","0.7","0.9","0.4","0.1","0.3","5.6","5.8","6.5","5.8","125.5","105.4"
"","MarJon Beauchamp","Mil","F","23.3","35","15.4","13.4","14.8","20","0.6","76","0.553","62","0.403","0.576","0.582","4.9","2.4","0.8","0.3","0.2","0.7","7.3","5.7","8.1","5.5","110.3","112.1"
"","Taylor Hendricks","Uta","F","20.2","13","14","16.1","13.4","8","0.75","23","0.478","35","0.343","0.5","0.52","4.9","2.2","0.5","0.7","0.5","0.7","7.2","5.4","7.6","5","102.8","115.1"
"","Jarace Walker","Ind","F","20.4","15","11","18.9","11.1","7","0.857","34","0.471","30","0.4","0.531","0.552","4.9","1.9","1.3","0.6","0.3","0.5","6.8","6.3","8.1","8.3","114.2","114"
"","Joe Ingles","Orl","F-G","36.3","34","18","12.8","20.1","20","0.85","48","0.417","91","0.385","0.522","0.548","4.8","2.6","3.1","0.7","0.1","1","7.4","7.9","10.5","7.5","113.7","106.2"
"","Shake Milton","Min","G-F","27.3","37","13.1","18.5","15.1","44","0.818","104","0.481","53","0.264","0.452","0.505","4.8","1.3","1.4","0.4","0.1","0.8","6.1","6.2","7.5","6.3","101.5","104.4"
"","Max Christie","Lal","G","21","39","16.9","13.6","15.3","30","0.8","85","0.494","81","0.333","0.497","0.527","4.8","2.6","1","0.4","0.3","0.8","7.5","5.8","8.5","5.5","98.4","111"
"","JaVale McGee","Sac","C-F","36","36","8.2","23.1","21.8","41","0.61","108","0.667","3","0","0.649","0.655","4.7","3","0.4","0.3","0.5","0.9","7.7","5.1","8.1","8.7","112.1","101.9"
"","Jontay Porter","Tor","C-F","24.2","14","14.3","16.1","12.8","12","0.917","28","0.393","33","0.333","0.451","0.498","4.7","3.5","2.1","0.8","0.8","0.6","8.2","6.8","10.3","9.1","113.7","104.6"
"","Jared Butler","Was","G","23.4","17","7.5","21.9","16.6","15","0.8","26","0.692","24","0.417","0.66","0.689","4.6","0.6","1.8","0.5","0.1","0.6","5.2","6.4","7.1","9.1","129.1","113.3"
"","Jae'Sean Tate","Hou","F","28.3","44","18.2","11","10.4","28","0.714","107","0.589","65","0.292","0.532","0.551","4.6","3.3","1.1","0.6","0.2","0.5","8","5.7","9","5.6","116.9","102"
"","Robert Covington","Phi","F","33.1","26","16.1","11.2","11","24","0.875","41","0.561","48","0.354","0.545","0.593","4.5","3.4","0.7","1.3","0.6","0.4","8","5.2","8.6","5.5","124.9","102.3"
"","Delon Wright","Was","G","31.8","26","15.6","13.6","8.4","27","0.815","76","0.395","33","0.364","0.44","0.488","4.5","2","2.8","1.2","0.2","0.4","6.5","7.4","9.4","7.5","116.4","118.4"
"","Keita Bates-Diop","Pho","F","28","37","15.7","12.8","7.1","36","0.722","84","0.512","60","0.3","0.486","0.519","4.5","2.6","0.9","0.6","0.5","0.3","7.1","5.4","8","5.6","116.1","113.6"
"","Kenrich Williams","Okc","G-F","29.2","37","15.1","12.8","9.4","10","0.3","70","0.557","75","0.387","0.569","0.562","4.5","2.9","1.3","0.6","0.1","0.4","7.5","5.8","8.7","6.8","119.3","106.6"
"","Nassir Little","Pho","F-G","24","28","13.4","13.4","11.2","20","0.85","43","0.698","52","0.308","0.568","0.602","4.5","2.2","0.6","0.4","0.3","0.4","6.6","5","7.2","5.4","118.8","111"
"","Neemias Queta","Bos","C","24.6","20","12.4","14.2","10.9","19","0.737","65","0.585","0","0","0.585","0.613","4.5","4.2","0.5","0.4","0.7","0.4","8.7","5","9.2","6.8","131.4","96.1"
"","Jalen Wilson","Bro","F","23.2","11","9.2","17.4","8.5","15","1","24","0.583","8","0.25","0.531","0.635","4.5","2.2","0.8","0.3","0.1","0.3","6.6","5.3","7.5","8.7","140.5","112.7"
"","Eugene Omoruyi","Was","F","27","19","5.8","28.1","14","21","0.762","38","0.711","17","0.294","0.627","0.662","4.5","1.5","0.6","0.5","0.1","0.5","5.9","5.1","6.5","11","122.8","102.2"
"","Dominick Barlow","San","F","20.7","22","13.4","13.7","5.9","28","0.607","72","0.5","7","0.429","0.513","0.537","4.5","3.4","1.2","0.4","0.5","0.2","7.9","5.6","9","7.9","122.5","110"
"","Dylan Windler","Lal","G-F","27.4","2","4.4","24.7","0","0","0","1","0","4","0.75","0.9","0.9","4.5","0.5","1","0","0","0","5","5.5","6","11.9","175.7","108.8"
"","Dwight Powell","Dal","F-C","32.5","41","15.6","9.6","21.8","77","0.727","84","0.714","2","0.5","0.715","0.747","4.4","3.8","1.7","0.5","0.4","0.6","8.2","6","9.9","7.8","151.1","106.7"
"","Brandon Boston Jr.","Lac","G","22.2","12","8.2","24.4","5.7","8","0.875","32","0.438","17","0.353","0.469","0.505","4.4","1.2","0.4","0.2","0.2","0.3","5.6","4.8","6","6.3","109.5","106.3"
"","DeAndre Jordan","Den","C","35.5","24","12.2","15.4","22.8","47","0.447","64","0.641","0","0","0.641","0.608","4.3","4.8","0.8","0.2","0.5","0.8","9.1","5.1","9.9","8.3","117.4","99.3"
"","Seth Curry","Dal","G","33.4","36","12.7","15.8","9.9","19","0.895","65","0.385","80","0.363","0.472","0.502","4.3","1.4","0.8","0.5","0.1","0.4","5.7","5.1","6.6","5.3","105","115.3"
"","Troy Brown Jr.","Min","G-F","24.5","36","11.3","15.8","13.2","22","0.864","34","0.618","84","0.369","0.572","0.603","4.3","2","1","0.2","0.1","0.5","6.3","5.3","7.2","7.3","118","106.9"
"","Dru Smith","Mia","G","26.1","9","14.5","13.1","13","2","1","16","0.5","17","0.412","0.561","0.576","4.3","1.6","1.6","1","0.3","0.6","5.9","5.9","7.4","6.1","118.1","107.4"
"","Thomas Bryant","Mia","C-F","26.5","25","10.4","17.4","16.2","22","0.818","73","0.603","4","0","0.571","0.611","4.2","3.1","0.6","0.2","0.2","0.6","7.3","4.8","7.9","7.6","117.7","105.5"
"","Mo Bamba","Phi","C","25.7","25","9.3","18.1","16.6","21","0.667","55","0.564","20","0.5","0.613","0.629","4.2","3.1","0.6","0.4","0.9","0.6","7.4","4.8","7.9","8.5","122.7","99.2"
"","Armoni Brooks","Bro","G","25.7","10","10.4","20","4.1","2","0.5","14","0.286","32","0.344","0.446","0.448","4.2","1.8","0.5","0.1","0.1","0.2","6","4.7","6.5","6","101.3","120.2"
"","Theo Maledon","Cha","G","22.6","13","15.4","18.7","18.4","12","0.917","36","0.389","30","0.167","0.326","0.379","4.2","1.8","2.2","0.5","0","1.2","5.9","6.3","8.1","6.6","83.3","116.5"
"","A.J. Lawson","Dal","G","23.5","22","9.7","18.7","11.6","17","0.706","38","0.579","38","0.316","0.526","0.551","4.2","1.3","0.6","0.4","0.1","0.5","5.5","4.8","6","6.1","109.5","113.9"
"","Orlando Robinson","Mia","C","23.6","20","11.5","15.8","17.7","20","0.7","48","0.5","12","0.583","0.575","0.603","4.2","3.1","1.4","0.3","0.4","0.7","7.3","5.5","8.6","9.2","120.9","102.9"
"","Danuel House Jr.","Phi","F-G","30.7","31","14.8","12","16.2","41","0.732","47","0.553","46","0.326","0.522","0.572","4.1","1.5","0.8","0.5","0.1","0.6","5.6","4.9","6.4","4.6","112","110.6"
"","Jeremiah Robinson-Earl","Nor","F","23.2","19","10.8","14.8","13.6","11","0.909","36","0.611","21","0.381","0.596","0.631","4.1","2.5","0.5","0.4","0.2","0.5","6.6","4.6","7.1","6.4","121.1","109.3"
"","Ryan Rollins","Was","G","21.6","10","6.6","25.2","21.6","17","0.765","22","0.5","3","0.667","0.56","0.631","4.1","1.1","1.1","0.8","0.3","0.7","5.2","5.2","6.3","10.3","115.4","108.8"
"","Evan Fournier","Nyk","G-F","31.3","3","12.9","24.1","4.7","2","1","5","0.4","15","0.133","0.25","0.287","4","1.3","1","1.3","0","0.3","5.3","5","6.3","5.4","72.3","100.9"
"","Mike Muscala","Was","F-C","32.6","24","14.1","14.3","15","20","0.75","39","0.487","51","0.275","0.444","0.481","4","3.1","1","0.2","0.3","0.7","7.1","4.9","8","6.6","100.6","115.3"
"","Oshae Brissett","Bos","F-G","25.6","30","11.7","14.2","10.2","40","0.675","53","0.585","35","0.286","0.523","0.563","4","3.1","0.6","0.4","0.1","0.3","7","4.6","7.7","6.7","124.3","103.5"
"","Ousmane Dieng","Okc","F","20.7","23","11.2","15.8","12.3","12","0.833","26","0.654","52","0.308","0.526","0.552","4","1.8","0.8","0.1","0","0.5","5.8","4.8","6.6","6.4","110","112.6"
"","Gradey Dick","Tor","G","20.2","26","13.7","15.1","14.4","18","0.944","37","0.405","64","0.297","0.431","0.477","4","1.5","1.2","0.5","0","0.7","5.5","5.2","6.7","5.6","100.1","111.1"
"","Mamadi Diakite","San","F","27","3","5.3","20.1","0","6","0.667","5","0.8","0","0","0.8","0.785","4","1","0.7","0","0.3","0","5","4.7","5.7","10.6","167.3","118.4"
"","Keon Ellis","Sac","G","24.1","28","12.2","13.1","15.3","17","0.647","15","0.667","68","0.382","0.59","0.602","3.9","1.3","1.3","0.5","0.4","0.5","5.2","5.1","6.5","6.1","117.8","108.2"
"","Mike Muscala","Det","F-C","32.6","7","12.2","11.3","4.5","2","0.5","3","0.333","18","0.444","0.619","0.617","3.9","2.6","0.9","0.1","0.6","0.1","6.4","4.7","7.3","6.9","133.6","113.9"
"","Tristan Thompson","Cle","C-F","32.9","36","12.4","13","19.8","42","0.31","92","0.663","1","0","0.656","0.605","3.8","3.9","1.1","0.2","0.3","0.6","7.6","4.9","8.8","8.2","122.3","102.7"
"","Tre Mann","Okc","G","23","13","9.2","18","18.2","1","1","21","0.571","19","0.421","0.6","0.606","3.8","1.8","1.5","0.2","0","0.7","5.6","5.3","7.2","9.4","114.9","114.2"
"","James Bouknight","Cha","G","23.4","12","6.1","23.1","2.6","2","0.5","10","0.4","27","0.444","0.595","0.594","3.8","0.8","0.5","0","0.1","0.1","4.5","4.3","5","7.5","121","123.9"
"","Chris Duarte","Sac","G","26.6","35","13.2","14.4","13.8","24","0.75","58","0.414","67","0.313","0.444","0.476","3.7","1.8","0.9","0.5","0.1","0.6","5.5","4.6","6.4","5.5","98.3","105.6"
"","Jacob Gilyard","Mem","G","25.6","30","16.1","10.5","15.3","1","1","18","0.333","81","0.407","0.561","0.563","3.7","1","3.2","0.6","0.1","0.6","4.8","7","8","5.7","124.5","113.9"
"","Justin Holiday","Den","F-G","34.8","27","12.9","10","7.5","0","0","23","0.652","51","0.431","0.649","0.649","3.6","1.1","1","0.6","0.1","0.2","4.7","4.5","5.7","4.9","129.9","109"
"","Maxi Kleber","Dal","C","32","13","18.7","10.8","21.7","15","0.667","19","0.421","24","0.292","0.43","0.474","3.6","3","1.5","0.2","0.6","0.9","6.6","5.1","8.1","5.4","98.7","110.3"
"","Yuta Watanabe","Pho","G-F","29.3","27","13.9","13.3","13.9","15","0.667","20","0.45","73","0.315","0.468","0.487","3.6","1.6","0.4","0.3","0.3","0.6","5.2","4","5.6","3.8","95.5","111.7"
"","John Konchar","Mem","G","27.9","37","18.1","9.7","15","12","0.75","51","0.569","73","0.301","0.5","0.514","3.6","4","1.6","0.7","0.9","0.6","7.6","5.2","9.2","6.3","113.1","109.6"
"","Garrison Mathews","Atl","G","27.3","33","12.6","10.3","14.8","9","0.444","6","0.5","80","0.45","0.663","0.656","3.6","1.2","0.5","0.2","0.1","0.5","4.8","4.1","5.3","4.1","117.9","112.4"
"","Davion Mitchell","Sac","G","25.4","36","12.5","14.9","13.3","19","0.737","63","0.492","67","0.269","0.446","0.47","3.6","1","1.7","0.2","0.1","0.6","4.6","5.3","6.3","5.9","103.1","112.6"
"","Blake Wesley","San","G","20.9","27","11.7","14.7","17.1","25","0.52","65","0.6","17","0.118","0.512","0.522","3.6","1.1","2.3","0.5","0.1","0.6","4.7","5.9","7","7.1","110.6","110.6"
"","Jaylin Williams","Okc","F","21.6","40","12","13.6","11.8","17","0.824","47","0.489","80","0.35","0.512","0.535","3.6","3.1","1.3","0.4","0.4","0.4","6.7","4.9","8","8.1","114.8","100.8"
"","Jake LaRavia","Mem","F","22.2","11","11.1","17.2","8.5","4","0.75","19","0.579","24","0.208","0.43","0.447","3.6","1.5","0.5","0.1","0.1","0.4","5.1","4.2","5.6","5","95.8","103.8"
"","Nate Williams","Hou","G","25","7","7.8","20.6","4.1","5","0.8","20","0.45","3","0.333","0.457","0.496","3.6","0.9","0.4","0.3","0","0.1","4.4","4","4.9","5.6","112","109.9"
"","Vasilije Micic","Okc","G","30","27","11.9","15.5","21.4","19","0.737","44","0.568","40","0.25","0.476","0.509","3.5","0.8","2.4","0.3","0.1","0.9","4.3","5.9","6.7","6.3","105.3","112.9"
"","Richaun Holmes","Dal","F","30.3","22","10.5","14.7","16.8","21","0.571","59","0.559","0","0","0.559","0.572","3.5","3.5","0.6","0.1","0.4","0.5","7","4.1","7.6","7.4","119.7","105.5"
"","Devonte' Graham","San","G","28.9","10","8.8","16.6","9.6","8","0.75","8","0.5","20","0.35","0.518","0.555","3.5","1.3","1.9","0.3","0.1","0.3","4.8","5.4","6.7","9.3","124.6","118.3"
"","Jaden Springer","Phi","G","21.4","28","10.3","18.6","20.1","27","0.778","62","0.452","29","0.241","0.423","0.476","3.5","1.5","0.9","0.6","0.4","0.8","5","4.4","5.9","6.5","96.4","101.9"
"","Oscar Tshiebwe","Ind","F-C","24.2","6","5.7","22.6","0","6","0.833","16","0.5","0","0","0.5","0.563","3.5","2","0.3","0.3","0","0","5.5","3.8","5.8","9","134.1","119"
"","Skylar Mays","Lal","G","26.4","4","7.4","14.4","0","0","0","8","0.5","2","1","0.7","0.7","3.5","0.8","1.5","0.5","0","0","4.3","5","5.8","8.7","155.6","104"
"","Bol Bol","Pho","C-F","24.2","12","7.2","15.8","20.4","5","0.8","18","0.778","5","0.6","0.804","0.813","3.4","2.3","0.5","0.3","0.5","0.5","5.7","3.9","6.2","8.8","137.1","104.2"
"","Kris Murray","Por","F","23.5","28","12.4","14.1","11.8","12","0.667","46","0.457","51","0.294","0.448","0.464","3.4","1.8","0.6","0.8","0.2","0.5","5.2","4","5.8","5","98","113.7"
"","Chuma Okeke","Orl","F","25.5","29","12.7","12.6","10.4","5","0.4","24","0.583","71","0.31","0.495","0.494","3.3","2.4","0.6","0.2","0.2","0.4","5.8","3.9","6.3","5.3","103.9","111.1"
"","Charles Bassey","San","C-F","23.3","19","10.8","11.8","27.1","6","0.833","39","0.744","1","0","0.725","0.739","3.3","4","1.1","0.4","0.9","0.8","7.3","4.4","8.4","9","125.4","102.5"
"","Omer Yurtseven","Uta","C","25.6","26","10.2","16.9","22.3","11","0.545","65","0.554","15","0.2","0.506","0.513","3.3","4","0.5","0.2","0.4","0.9","7.3","3.8","7.8","7.4","98.1","105.4"
"","Trevelin Queen","Orl","G","26.9","12","12.9","13.3","16.2","12","0.75","20","0.55","16","0.188","0.431","0.484","3.3","1.5","1.5","0.6","0.4","0.6","4.8","4.8","6.3","6","104","106.2"
"","Brandon Williams","Dal","G","24.2","7","6.2","21.5","11","9","0.556","11","0.545","5","0.4","0.563","0.576","3.3","0.7","1.1","0.1","0.1","0.3","4","4.4","5.1","8.8","123.9","121.5"
"","AJ Green","Mil","G","24.3","28","7.5","15.3","1.3","4","1","10","0.5","63","0.413","0.603","0.615","3.3","0.8","0.6","0","0","0","4.1","3.9","4.6","6.2","132.2","111.4"
"","Ish Smith","Cha","G","35.6","39","16.6","12.1","23.4","4","0.75","130","0.438","7","0.429","0.449","0.454","3.2","1.7","3.3","0.4","0.1","1.1","5","6.5","8.3","6.3","99.9","120.5"
"","JT Thor","Cha","F","21.4","38","14","12.3","7.6","13","0.538","75","0.387","59","0.322","0.429","0.437","3.2","2.6","0.4","0.2","0.4","0.3","5.8","3.6","6.2","4.3","99.4","119"
"","Colin Castleton","Lal","C","23.7","5","6.4","15.7","9.6","4","1","9","0.667","0","0","0.667","0.743","3.2","1.8","0.6","0","0","0.2","5","3.8","5.6","9.4","152.5","100.1"
"","Patty Mills","Atl","G","35.5","16","11","12.4","15.1","0","0","15","0.333","30","0.433","0.544","0.544","3.1","1","0.8","0.4","0.1","0.5","4.1","3.9","4.9","4.9","107.2","115.3"
"","Harry Giles III","Bro","F-C","25.8","15","4.9","29.1","15.5","11","0.545","28","0.607","10","0.2","0.526","0.537","3.1","1.5","0.3","0.1","0.2","0.5","4.5","3.3","4.8","9.1","102.6","102.6"
"","Jaxson Hayes","Lal","C-F","23.7","38","10","12.1","22.3","29","0.552","68","0.735","5","0","0.685","0.676","3.1","1.8","0.3","0.3","0.4","0.6","4.8","3.4","5.2","4.7","113.3","99.3"
"","Jalen McDaniels","Tor","F-C","26","29","9","18.7","8.5","20","0.7","48","0.479","48","0.208","0.396","0.429","3.1","1.2","0.6","0.4","0.1","0.3","4.3","3.7","4.9","5.8","92.9","109.9"
"","Zeke Nnaji","Den","F-C","23.1","37","9.4","16.7","20.6","39","0.641","76","0.487","16","0.313","0.484","0.522","3.1","2.1","0.5","0.2","0.5","0.6","5.2","3.6","5.7","6.3","105.9","101.6"
"","Olivier-Maxence Prosper","Dal","F","21.6","25","9.6","15","5.8","34","0.676","33","0.455","32","0.25","0.415","0.481","3.1","2.2","0.8","0.1","0.1","0.2","5.3","3.8","6.1","7.3","115.4","114.2"
"","Ricky Council IV","Phi","G","22.5","7","4.5","24.5","0","12","0.75","11","0.455","2","0.5","0.5","0.602","3.1","0.4","0","0.3","0","0","3.6","3.1","3.6","0","134.8","116.8"
"","Robert Covington","Lac","F","33.1","3","23.1","6.2","0","2","0.5","1","1","8","0.25","0.444","0.455","3","2.7","2.3","2","0.7","0","5.7","5.3","8","4.6","131.4","105.3"
"","Ben Sheppard","Ind","G","22.5","26","10.3","13","3.8","12","0.75","27","0.481","49","0.286","0.447","0.474","3","1.2","0.9","0.5","0","0.1","4.2","3.8","5.1","5.7","111.3","111.2"
"","Drew Peterson","Bos","F","24.2","1","2.6","16.6","0","0","0","0","0","1","1","1.5","1.5","3","0","1","0","0","0","3","4","4","0","0","0"
"","Davis Bertans","Okc","F","31.2","15","6.1","16","3.6","15","0.933","2","0","24","0.417","0.577","0.675","2.9","0.7","0.6","0.2","0.2","0.1","3.6","3.5","4.2","7","146.3","107.1"
"","Udoka Azubuike","Pho","C-F","24.4","12","8.5","13.2","15.3","11","0.273","22","0.727","0","0","0.727","0.652","2.9","2.6","0.3","0","0.5","0.3","5.5","3.2","5.8","6.2","123.5","101.1"
"","Bruno Fernando","Atl","F-C","25.5","13","6.5","20.6","20.4","19","0.526","24","0.583","3","0","0.519","0.537","2.9","2","0.3","0.2","0.4","0.5","4.9","3.2","5.2","7.4","101.4","106.8"
"","Luka Samanic","Uta","F","24.1","22","6.1","22.7","13.6","17","0.824","36","0.472","21","0.238","0.43","0.489","2.9","1.8","0.2","0","0.1","0.4","4.6","3","4.8","6.7","96.8","109.5"
"","Kira Lewis Jr.","Nor","G","22.8","15","9.6","19.4","13.2","11","0.909","32","0.438","20","0.1","0.327","0.387","2.9","0.9","1.2","0.3","0.1","0.5","3.9","4.1","5.1","6.1","89.3","113.3"
"","Ish Wainright","Por","F","29.4","7","6.6","18.4","5.1","2","1","2","0","16","0.375","0.5","0.53","2.9","1.3","0","0.3","0.1","0.1","4.1","2.9","4.1","0","105.2","109.4"
"","Patrick Baldwin","Was","F","21.2","16","7.3","17.2","13.9","10","0.7","16","0.313","21","0.476","0.541","0.568","2.9","2.2","0.4","0.1","0.2","0.4","5.1","3.3","5.5","7.5","108.6","104.4"
